Afastamento,Vereador Afastado,Justificativa do Afastamento,Retorno,Justificativa do Retorno,Vereador Suplente
01/02/13,TOVAR – PSDB,Chefe de Gabinete do Prefeito,08/04/14,Concorrer a Deputado Estadual,IVONETE LUDGERIO – PSB
07/04/2014,LAFITE – PSC,Secretário da Ciência e Tecnologia,04/02/2016,Entrega do cargo para o ex-vereador Cassiano,ALDO CABRAL – PC do B
07/04/2014,LULA CABRAL – PRB,Cargo de Secretário Municipal de Cultura,,,PASTOR JOSIMAR – PRB
08/04/14,JOIA GERMANO – PRP,Presidência da Urbema,,,IVONETE LUDGERIO – PSB
03/07/2014,GALEGO DO LEITE – PMN,Assuntos pessoais (licença de 121 dias),02/11/2014,Fim da licença,SAULO GERMANO – PMN
01/10/2014,RODRIGO RAMOS – PMN,Assuntos pessoais (licença de 121 dias),31/01/2015,Fim da licença,LOURDES COSTA – PMN
22/10/2014,BUCHADA – PTN,Assuntos pessoais (licença de 121 dias),21/02/2015,Fim da licença,TIA MILA – PV
22/10/2014,SAULO NORONHA – DEM,Presidência da Urbema,,,MIGUEL DA CONSTRUÇÃO – PRB
03/02/2015,TOVAR – PSDB,Deputado Estadual,xxx,xxx,ANDERSON MAIA – PSB
03/02/2015,INÁCIO FALCÃO – PSDB,Deputado Estadual,xxx,xxx,IVONETE LUDGERIO – PSB
10/02/2015,BRUNO CUNHA LIMA – PSDB,Deputado Estadual,xxx,xxx,JOAO DANTAS – PSD
10/02/2015,JOIA GERMANO – PRP,Chefe de Gabinete do Prefeito,,,ARAGÃO JUNIOR – PSD
13/03/2015,MARINALDO CARDOSO – PRP,Assuntos pessoais (licença de 121 dias),13/07/2015,Fim da licença,ROSTAND PARAIBA – PRB
01/04/2015,METUSELA AGRA – PMBD,Secretario executivo da pasta estadual de desenvolvimento humano,,,RODOLFO RODRIGUES – PRB
17/06/2015,SGT REGIS – PMN,Presidência da AMDE,,,ALCINDOR VILLARIM – PMN
